month,drinking,predation,leopard,lion,hyena
Jan,0,5,0,5,0
Feb,0,0,0,0,0
March,0,3,1,2,0
Apr,0,2,0,2,0
May,2,2,1,1,0
June,0,2,1,1,0
July,0,4,0,3,1
Aug,0,4,0,4,0
Sept,1,1,1,0,0
Oct,2,4,1,3,0
Nov,1,1,0,1,0
Dec,1,0,0,0,0
