month,drinking,predation,leopard,lion,hyena
Jan,5,2,2,0,0
Feb,2,1,1,0,0
March,2,7,6,1,0
Apr,4,4,4,0,0
May,1,3,3,0,0
June,1,7,7,0,0
July,4,7,4,3,0
Aug,6,5,3,0,2
Sept,3,6,6,0,0
Oct,3,0,0,0,0
Nov,1,4,3,1,0
Dec,0,5,4,1,0
